	## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Diese Nation ärgert sich noch immer über die Schlacht, die sie gegen uns verloren hat."
REGARD_EVENT_ATTACKED_CIVILIANS "Sie sind außer sich, weil wir ihre zivilen Einheiten angegriffen haben."
REGARD_EVENT_UNPROVOKED_ATTACK "Diese Nation ist entsetzt über unseren unprovozierten Angriff auf ihre Truppen."
REGARD_EVENT_PEACETIME_BORDER_INCURSION "Sie sind wütend, weil wir in Friedenszeiten in ihr Territorium eingedrungen sind."
REGARD_EVENT_BORDER_INCURSION_PULLOUT "Sie sind froh, dass wir unsere Truppen aus ihrem Territorium abgezogen haben."
REGARD_EVENT_WITHDRAW_TROOPS_VIOLATION "Sie sind wütend , dass wir unsere Truppen nicht von ihrem Land abgezogen haben."
REGARD_EVENT_INVADER_MOVEMENT "Sie toben, weil wir weiterhin Truppen in ihren Grenzgebieten stationiert haben."
REGARD_EVENT_VIOLATED_PEACE_TREATY "Sie sind stinksauer, weil wir gegen unser Friedensabkommen verstoßen haben."
REGARD_EVENT_VIOLATED_STOP_PIRACY "Sie sind aufgebracht, weil wir nicht aufgehört haben, ihre Handelswege zu überfallen."
REGARD_EVENT_PER_ROUTE_PIRACY "Sie sind nicht gerade erfreut, dass wir weiterhin ihre Handelswege plündern."
REGARD_EVENT_ENEMY_SHARES_CONTINENT "Sie nehmen uns übel, dass unsere Truppen einen Teil ihres Territoriums belagern."
REGARD_EVENT_ENEMY_CONVERTED_CITY "Sie sind ziemlich aufgebracht, weil unsere Kleriker ihre Städte zu unserer Religion bekehrt haben."
REGARD_EVENT_POSITIVE_SENDER_DIPLOMACY_RESULT "Die {player[0].civ_name_plural} freuen sich über unsere positiven Reaktionen auf ihre Gesuche."
REGARD_EVENT_POSITIVE_RECEIVER_DIPLOMACY_RESULT "Die {player[0].civ_name_plural} betrachten unsere diplomatischen Gesuche mit Wohlwollen."
REGARD_EVENT_NEGATIVE_SENDER_DIPLOMACY_RESULT "Unsere Reaktionen auf die Gesuche {player[0].civ_name_plural#ARTICLE_GEN} haben nichts bewirkt."
REGARD_EVENT_NEGATIVE_RECEIVER_DIPLOMACY_RESULT "Unsere diplomatischen Gesuche haben die {player[0].civ_name_plural} ziemlich verärgert."
