#### Message Strings for the Nuclear Detente scenario ####


#### Button text

ND_BUTTON_OK 	"确定"
ND_BUTTON_YES 	"是"
ND_BUTTON_NO 	"否"
ND_BUTTON_NEXT 	"下一个->"
ND_BUTTON_BACK 	"<-上一个"
ND_BUTTON_RULES	"剧情关卡规则"


#### Message box text

#	The string of hyphens below represents the amount of text that will fit in a message box.
# 						----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

ND_START_TITLE			"核战一触即发"
ND_WIN_TITLE			"您获胜了！"
ND_LOSE_TITLE			"您失败了！"
ND_START_MESSAGE_A		"您是艾米尼亚的{player[0].leader_name}领袖。贵国与凡迪卡利国陷入了核武对峙的僵局。贵国核子潜艇已经部署在战略位置，还有众多核子飞弹锁定凡迪卡利所有城市，而凡国用自己所有的核子飞弹锁定贵国城市。"
ND_START_MESSAGE_B		"您签订了限制核武数量的条约，此条约明文规定各方阵营所能拥有的核子飞弹数量，但两国之间的紧张情势仍不断升高，双方所剩的核子飞弹数量足以摧毁整个地球。您得先找出消除凡迪卡利人所造成的核武威胁的方法！"
ND_CANT_MOVE_NUKES		"我国的核子潜艇已经就攻击位置。为了维持我国先发制人的能力，必须让潜艇先各就各位。"  
ND_DISBAND_NUKE_WARNING	"虽然要达致最终的和平进程，终须解散我国的核子飞弹部队，但请小心提防不要让我国在敌人面前变得毫无防备之力。您确定要解散核子飞弹部队吗？"
ND_LOSE_NUCLEAR_WAR_A	"见到雷达屏幕上的黄色光点愈来愈靠近，您实在不确定究竟是那一方先发射了核子飞弹。在这幺长时间的苦战之后，有人会忍不住先发射核子飞弹实为意料中事。现在再去找出责备的对象已经无关紧要。或许祖先会原谅您。"
ND_LOSE_NUCLEAR_WAR_B	"有名士兵轻轻碰了您的手臂，「长官，我们得离开了」。这名士兵引领您进入地下避难所的升降梯。升降梯门关上之后，这名士兵说起话来，「我怀疑我们还能不能再见到太阳」。因为内心的懊悔内疚您于是回答：「总会比困在地上那些可怜的灵魂来得早吧……」"
ND_DEFUSER_WARNING		"{player[1].civ_name_plural}开始在{city[0].name}中建造微细反核弹装置。这项科技能够摧毁我国所有核武，如此一来将会严重影响国际军事均势。一定要阻止他们！"
ND_LOSE_DEFUSER			"{player[1].civ_name_plural}启用了微细反核弹装置。我国的核子武器现在已经成为一堆废铁。"  
ND_WIN_DEFUSER			"您已经建好了微细反核弹装置。再过一会，地球上所有核武都会变成一堆废铁。"
ND_LAUNCH_CODE_1		"我们成功破解了敌方一艘核子潜艇上的核弹发射密码。要是我们能够掌握到所有八艘潜艇的发射密码，就能同时引爆，一劳永逸解除核子威胁。不过我们得加快脚步了。这些发射密码在{codeCounter}月{action[0].text}之后就会重新设定。"
ND_LAUNCH_CODE_2		"现在我们已经掌握到{spyCitySum}八组发射密码。这些密码会在 {codeCounter}月{action[0].text}重新设定。"
ND_LAUNCH_CODE_TURNS	""
ND_LAUNCH_CODE_TURNS2	""
ND_LAUNCH_CODE_RESET	"发射密码已经重新设定。我国间谍所做的一切又得重头开始了。"
ND_WIN_LAUNCH_CODE		"我们利用了发射密码让敌方所有核弹都报废了。由于我国的核弹仍然锁定凡迪卡利的所有城市，所以您立即要求他们无条件投降。他们也很快就同意了！"
ND_NUCLEAR_SUB_WARNING	"摧毁凡迪卡利的核子潜艇必然会引发报复性核武攻击！确定要攻击核子潜艇吗？"
ND_NUCLEAR_SUB_DESTROY	"您一时趁凡迪卡利人不备之时，大胆攻击了核子潜艇，但情报显示我们的敌人已经准备好要发动全面性的报复性核武攻击。除非您能同时击沉所有剩余的核子潜艇，不然世界只有灭亡一途！"
ND_WIN_NUCLEAR_SUB		"您杰出的协同攻击行动，歼灭了凡迪卡利人所造成的核武威胁。由于我国核武还锁定凡国的城市，所以您立即要求他们无条件投降。他们也很快就同意了！"
ND_WIN_DIPLOMACY		"您长袖善舞的政治手腕，解除了凡迪卡利人所造成的核武威胁。现在您能安全地解除我国的核武，铺设最后迈向和平的大道了。"
ND_LOSE_STUPIDITY		"您不应该销毁我国最后的核子武器。现在我们的生死已经交到凡迪卡利人的手里了！ "
ND_TEMP					"核子潜艇 = {nukeCount}"
ND_TEMP2				"来到这里……"

